node	Atuncolla	Caminaca	Cayma	Cercado	Cerro Colorado	Characato	Jacobo Hunter	Majes	Paucarpata	Yura
root	0.015217451919695217	0.920858561289971	0.007155320092049799	0.0035787297931564174	0.021850175200461418	0.0035787282800754236	0.007157815138077853	0.010615873910403922	0.0035787338621790523	0.006408610513929838
1101787_meta-illumina	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n0	0.015217451919695217	0.920858561289971	0.007155320092049799	0.0035787297931564174	0.021850175200461418	0.0035787282800754236	0.007157815138077853	0.010615873910403922	0.0035787338621790523	0.006408610513929838
1101786_meta-illumina	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n00	0.015217451919695217	0.920858561289971	0.007155320092049799	0.0035787297931564174	0.021850175200461418	0.0035787282800754236	0.007157815138077853	0.010615873910403922	0.0035787338621790523	0.006408610513929838
1203037_meta-illumina	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n1	0.04787667880234942	0.10739376265158665	0.09443888833756481	0.04723341292286186	0.28842570940700074	0.04723316663435067	0.09447106589148022	0.14055256617069298	0.04723327670028134	0.08514147248183114
n11	3.350681818491637e-06	4.025241609029121e-06	6.699313336806783e-06	3.3506588591766435e-06	2.045751251903588e-05	3.3506583741716728e-06	6.701652474344284e-06	0.9998602013319065	8.586505462423784e-05	5.997894478242217e-06
n44	2.1359053554616254e-05	2.5662863308175882e-05	0.0012970310562313574	0.00039843477596630415	0.06730058171464726	2.1358855085024134e-05	4.271985026378554e-05	6.334697999846149e-05	2.135888744856949e-05	0.9308081459634964
187_2022_aqp13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
167_2021_aqp13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n2	3.350681818491637e-06	4.025241609029121e-06	6.699313336806783e-06	3.3506588591766435e-06	2.045751251903588e-05	3.3506583741716728e-06	6.701652474344284e-06	0.9998602013319065	8.586505462423784e-05	5.997894478242217e-06
