node	Arequipa	Azangaro	Caylloma	Puno
root	0.003084832186186502	0.9851988539444925	0.0020066027926210436	0.009709711076700071
1101787_meta-illumina	0.0	1.0	0.0	0.0
n0	0.003084832186186502	0.9851988539444925	0.0020066027926210436	0.009709711076700071
1101786_meta-illumina	0.0	1.0	0.0	0.0
n00	0.003084832186186502	0.9851988539444925	0.0020066027926210436	0.009709711076700071
1203037_meta-illumina	0.0	0.0	0.0	1.0
n1	0.2854759427058347	0.4604976818997582	0.19896686232583513	0.05505951306857205
n11	2.347737672010494e-06	6.739990253267599e-08	0.9999975446595825	4.020284302451768e-08
n44	0.9999999999981647	6.118314672048024e-13	8.704547682692201e-13	3.529653143262416e-13
187_2022_aqp13	0.0	0.0	1.0	0.0
167_2021_aqp13	1.0	0.0	0.0	0.0
n2	2.347737672010494e-06	6.739990253267599e-08	0.9999975446595825	4.020284302451768e-08
n5	0.9999999999981647	6.118314672048024e-13	8.704547682692201e-13	3.529653143262416e-13
196_2021_aqp13	1.0	0.0	0.0	0.0
71_2021_aqp12	0.0	0.0	1.0	0.0
n22	4.416544668114321e-07	1.209019784226956e-07	0.9999993241760058	1.1326754896366117e-07
n33	1.3414322120750087e-10	3.670070607555428e-11	0.9999999997947736	3.4382391348023905e-11
73_2021_aqp12	0.0	0.0	1.0	0.0
n55	0.9999999999981647	6.118314672048024e-13	8.704547682692201e-13	3.529653143262416e-13
n7	0.9999999999981647	6.118314672048024e-13	8.704547682692201e-13	3.529653143262416e-13
172_2022_aqp14	1.0	0.0	0.0	0.0
n3	0.0	0.0	1.0	0.0
68_2021_aqp12	0.0	0.0	1.0	0.0
n4	0.0	0.0	1.0	0.0
52_2021_aqp12	0.0	0.0	1.0	0.0
34_2021_aqp12	0.0	0.0	1.0	0.0
147_2021_aqp12	0.0	0.0	1.0	0.0
18_2021_aqp13	1.0	0.0	0.0	0.0
n6	0.9999913244456483	2.095816945304454e-06	4.6161270656362835e-06	1.9636103407310076e-06
56_2021_aqp14	1.0	0.0	0.0	0.0
n77	0.9999999999981647	6.118314672048011e-13	8.704547682692185e-13	3.529653143262409e-13
231_2021_aqp14	1.0	0.0	0.0	0.0
n1111	1.0	0.0	0.0	0.0
202_2021_aqp12	0.0	0.0	1.0	0.0
107_2021_aqp12	0.0	0.0	1.0	0.0
251_2021_aqp12	0.0	0.0	1.0	0.0
250_2021_aqp12	0.0	0.0	1.0	0.0
148_2021_aqp13	1.0	0.0	0.0	0.0
40_2021_aqp14	1.0	0.0	0.0	0.0
n66	0.9999628215132806	8.98147821241557e-06	1.978209252066716e-05	8.414915986228642e-06
n8	0.9999999999981647	6.118314672048011e-13	8.704547682692185e-13	3.529653143262409e-13
93_2021_aqp13	1.0	0.0	0.0	0.0
9_2021_aqp13	1.0	0.0	0.0	0.0
158_2022_aqp14	1.0	0.0	0.0	0.0
126_2021_aqp14	1.0	0.0	0.0	0.0
31_2021_aqp14	1.0	0.0	0.0	0.0
174_2021_aqp13	1.0	0.0	0.0	0.0
145_2022_aqp14	1.0	0.0	0.0	0.0
n88	1.0	0.0	0.0	0.0
n10	1.0	0.0	0.0	0.0
12_2021_aqp13	1.0	0.0	0.0	0.0
90_2021_aqp14	1.0	0.0	0.0	0.0
236_2022_aqp12	0.0	0.0	1.0	0.0
n9	0.9995476879509642	0.00010926832079781977	0.00024066818183843733	0.0001023755463995177
n1010	0.9999999645242097	8.570145411160046e-09	1.8876114313235328e-08	8.029530542656012e-09
30_2021_aqp14	1.0	0.0	0.0	0.0
n99	0.9999237285378938	1.8425453416308074e-05	4.0582854581033954e-05	1.7263154108899206e-05
219_2022_aqp14	1.0	0.0	0.0	0.0
92_2021_aqp13	1.0	0.0	0.0	0.0
61_2021_aqp14	1.0	0.0	0.0	0.0
173_2023_aqp14	1.0	0.0	0.0	0.0
147_2022_aqp14	1.0	0.0	0.0	0.0
