node	Arequipa	Puno
root	0.00017680668099315735	0.9998231933190068
1101787_meta-illumina	0.0	1.0
n0	0.00017680668099315735	0.9998231933190068
1101786_meta-illumina	0.0	1.0
n00	0.00017680668099315735	0.9998231933190068
1203037_meta-illumina	0.0	1.0
n1	0.5180110979785912	0.4819889020214087
n11	0.9999999915698224	8.430177654962921e-09
n44	0.9999999999999581	4.1857967385256484e-14
187_2022_aqp13	1.0	0.0
167_2021_aqp13	1.0	0.0
n2	0.9999999915698224	8.430177654962921e-09
n5	0.9999999999999581	4.1857967385256484e-14
196_2021_aqp13	1.0	0.0
71_2021_aqp12	1.0	0.0
n22	0.9999998472541162	1.527458837699788e-07
n33	0.9999999999274642	7.253573037494469e-11
73_2021_aqp12	1.0	0.0
n55	0.9999999999999581	4.1857967385256484e-14
n7	0.9999999999999581	4.1857967385256484e-14
172_2022_aqp14	1.0	0.0
n3	1.0	0.0
68_2021_aqp12	1.0	0.0
n4	1.0	0.0
52_2021_aqp12	1.0	0.0
34_2021_aqp12	1.0	0.0
147_2021_aqp12	1.0	0.0
18_2021_aqp13	1.0	0.0
n6	0.9999992753241778	7.246758222848163e-07
56_2021_aqp14	1.0	0.0
n77	0.9999999999999581	4.1857967385256484e-14
231_2021_aqp14	1.0	0.0
n1111	1.0	0.0
202_2021_aqp12	1.0	0.0
107_2021_aqp12	1.0	0.0
251_2021_aqp12	1.0	0.0
250_2021_aqp12	1.0	0.0
148_2021_aqp13	1.0	0.0
40_2021_aqp14	1.0	0.0
n66	0.9999959594304829	4.040569517155317e-06
n8	0.9999999999999581	4.1857967385256654e-14
93_2021_aqp13	1.0	0.0
9_2021_aqp13	1.0	0.0
158_2022_aqp14	1.0	0.0
126_2021_aqp14	1.0	0.0
31_2021_aqp14	1.0	0.0
174_2021_aqp13	1.0	0.0
145_2022_aqp14	1.0	0.0
n88	1.0	0.0
n10	1.0	0.0
12_2021_aqp13	1.0	0.0
90_2021_aqp14	1.0	0.0
236_2022_aqp12	1.0	0.0
n9	0.9999514039885015	4.8596011498500327e-05
n1010	0.999999995901513	4.0984869831095785e-09
30_2021_aqp14	1.0	0.0
n99	0.9999917417079716	8.258292028407146e-06
219_2022_aqp14	1.0	0.0
92_2021_aqp13	1.0	0.0
61_2021_aqp14	1.0	0.0
173_2023_aqp14	1.0	0.0
147_2022_aqp14	1.0	0.0
